,NOMBRECOMERCIAL,PRECIO,FECHAREGISTRO,PRESENTACIÓN,MARCA,LATITUD,LONGITUD,PRODUCTO
123563,MEGA SORIANA SUCURSAL ASTURIAS,63.9,2023-09-28,1 KG. HASS,S/M,19.407812,-99.132654,AGUACATE
124195,WALMART EXPRESS SUCURSAL SENA,84.0,2023-09-28,1 KG. HASS,S/M,19.43346,-99.16796,AGUACATE
124895,WALMART SUCURSAL PORTAL CENTRO,64.0,2023-09-28,1 KG. HASS,S/M,19.419472,-99.130269,AGUACATE
183367,BODEGA AURRERA SUCURSAL LA VIGA,59.0,2023-09-28,1 KG. HASS,S/M,19.414749,-99.127874,AGUACATE
183708,CHEDRAUI SUCURSAL ANFORA,54.9,2023-09-28,1 KG. HASS,S/M,19.437353,-99.110088,AGUACATE
184837,SORIANA HIPER SUCURSAL CONSULADO (418),63.9,2023-09-28,1 KG. HASS,S/M,19.449572,-99.100376,AGUACATE
186820,WALMART SUCURSAL BALBUENA,64.0,2023-09-28,1 KG. HASS,S/M,19.418067,-99.105639,AGUACATE
77190,BODEGA AURRERA EXPRESS SUCURSAL AZCAPOTZALCO,18.9,2023-09-28,PZA. ROMANA,S/M,19.482528,-99.184364,LECHUGA
77669,MERCADO SORIANA SUCURSAL AZCAPOTZALCO,15.8,2023-09-28,PZA. ROMANA,S/M,19.47825,-99.187038,LECHUGA
78638,WALMART SUCURSAL CUITLAHUAC,14.9,2023-09-28,PZA. ROMANA,S/M,19.471594,-99.16484,LECHUGA
94836,MEGA SORIANA SUCURSAL MIXCOAC,15.8,2023-09-28,PZA. ROMANA,S/M,19.379206,-99.186761,LECHUGA
110990,BODEGA AURRERA SUCURSAL CANTIL,18.9,2023-09-28,PZA. ROMANA,S/M,19.330481,-99.154328,LECHUGA
111913,LACOMER SUCURSAL MIGUEL ANGEL DE QUEVEDO,21.0,2023-09-28,PZA. ROMANA,S/M,19.345444,-99.172181,LECHUGA
113691,U.N.A.M. SUCURSAL 02 CD UNIVERSITARIA,17.78,2023-09-28,PZA. ROMANA,S/M,19.322043,-99.176224,LECHUGA
114194,WALMART EXPRESS SUCURSAL DIVISION DEL NORTE,18.9,2023-09-28,PZA. ROMANA,S/M,19.321169,-99.138857,LECHUGA
114858,WALMART SUCURSAL COPILCO,18.9,2023-09-28,PZA. ROMANA,S/M,19.337768,-99.183895,LECHUGA
122446,BODEGA AURRERA EXPRESS SUCURSAL LOS GALLOS,14.9,2023-09-28,PZA. ROMANA,S/M,19.455788,-99.162735,LECHUGA
123147,LACOMER SUCURSAL SANTA MARIA LA RIBERA,21.0,2023-09-28,PZA. ROMANA,S/M,19.450874,-99.16366,LECHUGA
123836,MEGA SORIANA SUCURSAL ASTURIAS,15.0,2023-09-28,PZA. ROMANA,S/M,19.407812,-99.132654,LECHUGA
124620,WALMART EXPRESS SUCURSAL SENA,14.9,2023-09-28,PZA. ROMANA,S/M,19.43346,-99.16796,LECHUGA
125196,WALMART SUCURSAL PORTAL CENTRO,14.9,2023-09-28,PZA. ROMANA,S/M,19.419472,-99.130269,LECHUGA
183601,BODEGA AURRERA SUCURSAL LA VIGA,14.9,2023-09-28,PZA. ROMANA,S/M,19.414749,-99.127874,LECHUGA
184250,CHEDRAUI SUCURSAL ANFORA,9.5,2023-09-28,PZA. ROMANA,S/M,19.437353,-99.110088,LECHUGA
184753,MERCADO ROMERO RUBIO,10.0,2023-09-28,PZA. ROMANA,S/M,19.388643,-99.066708,LECHUGA
185420,SORIANA HIPER SUCURSAL CONSULADO (418),12.9,2023-09-28,PZA. ROMANA,S/M,19.449572,-99.100376,LECHUGA
186422,WALMART SUCURSAL AEROPUERTO,14.9,2023-09-28,PZA. ROMANA,S/M,19.41926,-99.094521,LECHUGA
187379,WALMART SUCURSAL BALBUENA,14.9,2023-09-28,PZA. ROMANA,S/M,19.418067,-99.105639,LECHUGA
77204,BODEGA AURRERA EXPRESS SUCURSAL AZCAPOTZALCO,42.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.482528,-99.184364,PAPA
77675,MERCADO SORIANA SUCURSAL AZCAPOTZALCO,27.4,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.47825,-99.187038,PAPA
78727,WALMART SUCURSAL CUITLAHUAC,42.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.471594,-99.16484,PAPA
94940,MEGA SORIANA SUCURSAL MIXCOAC,27.4,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.379206,-99.186761,PAPA
111010,BODEGA AURRERA SUCURSAL CANTIL,41.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.330481,-99.154328,PAPA
112032,LACOMER SUCURSAL MIGUEL ANGEL DE QUEVEDO,39.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.345444,-99.172181,PAPA
113065,SORIANA SUCURSAL CANTIL (419),47.9,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.329484,-99.154197,PAPA
113741,U.N.A.M. SUCURSAL 02 CD UNIVERSITARIA,29.59,2023-09-28,1 KG. ALFA/BLANCA,S/M,19.322043,-99.176224,PAPA
