precio,ubicacion,tamanio,latitud,longitud
63000," Alejandro Dumas ,  Polanco IV Sección, Polanco",73,19.431415800000000,-99.195573000000000
31236," av montevideo 363 colonia lindavista,  Lindavista, Gustavo A. Madero",312,19.492509800000000,-99.133551900000000
8000," C. Juan E. Hernández y Davalos 119,  Algarín, Cuauhtémoc",111,19.405956700000000,-99.137751000000000
14800," Noche de paz 14,  Granjas Navidad, Cuajimalpa de Morelos",38,19.372721699999999,-99.278406700000005
12000," Francisco Petrarca ,  Polanco, Miguel Hidalgo",15,19.434490100000000,-99.185795300000000
12000," Tihuatlán No. 10 ,  San Jerónimo Aculco, Alvaro Obregón",12,19.317805000000000,-99.222186499999990
47000," Moliere 6,  Polanco I Sección, Polanco",48,19.431975993327985,-99.202177154492190
40000," Schiller, 152,  Polanco, Miguel Hidalgo",45,19.435945600000000,-99.186141299999988
26650," RIO NAZAS 67,  Cuauhtémoc, Cuauhtémoc",412,19.432127100000000,-99.167730499999990
22800," Insurgentes Sur,  Santa Úrsula Xitla, Tlalpan",56,19.282399999999999,-99.175100000000000
10000," Av Santa Lucia 156,  Alfonso XIII, Alvaro Obregón",551,19.378229900000000,-99.198462100000000
8900," AVENIDA JOSE MARIA CASTORENA ,  José Maria Castorena, Cuajimalpa de Morelos",52,19.360818600000000,-99.289343500000000
27000," Parques Plaza Calle Lago Alberto 442,  Anáhuac I Sección, Miguel Hidalgo",292,19.439071000000000,-99.177788900000000
6500," Miramontes,  Avante, Coyoacán",18,19.332358800000001,-99.137163399999991
39000," Hipódromo Condesa,  Condesa, Cuauhtémoc",33,19.408947700000000,-99.180214700000000
39000," Hipódromo Condesa,  Hipódromo Condesa, Cuauhtémoc",45,19.408947700000000,-99.180214700000000
62000," Baja California ,  Hipódromo, Cuauhtémoc",562,19.406041800000000,-99.172277700000000
13000," Corregidora 115 B, Barrio Caramaguey,  Barrio de Caramagüey, Tlalpan",51,19.290603500000000,-99.182819999999990
8000," Avenida Miguel Ángel de Quevedo 353,  Romero de Terreros, Coyoacán",15,19.345503800000000,-99.174115500000000
6300," Petén Planta Baja,  Narvarte Oriente, Benito Juárez",10,19.387945099999999,-99.152890700000000
28000," Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",709,19.438099999999998,-99.179400000000001
15000," Alberto Braniff , Aviación Civil, Venustiano Carranza,  Ciudad de México, CDMX,  Aviación Civil, Venustiano Carranza",80,19.415701500000000,-99.075827100000010
17999," Av. Universidad 2079,  Copilco El Bajo, Coyoacán",4550,19.337516600000000,-99.185081400000000
25000," MONTECITO 38 ,  Nápoles, Benito Juárez",40,19.395424600000000,-99.174093800000000
15000," Puente de Peredo 11,  Centro , Cuauhtémoc",28,19.429888200000000,-99.142156300000000
17500," NAPOLES 60,  Juárez, Cuauhtémoc",25,19.426134900000000,-99.159431599999990
29000," Puebla,  Roma Norte, Cuauhtémoc",44,19.420668575948643,-99.172086852037050
18000," Prado Norte,  Lomas de Chapultepec, Miguel Hidalgo",62,19.427376600000000,-99.211281500000000
4000," Rtno. 29 Fray Servando Teresa de Mier 159,  Jardín Balbuena, Venustiano Carranza",14,19.415204800000000,-99.099947300000000
17000," Leibnitz,  Anzures, Miguel Hidalgo",19,19.428192400000000,-99.178087699999991
29500," José Marti,  Escandón I Sección, Miguel Hidalgo",75,19.402030107405550,-99.176809581445330
55000," Panuco,  Cuauhtémoc, Cuauhtémoc",70,19.429885399999999,-99.169179600000006
4500," Azahares 14,  Santa Maria Insurgentes, Cuauhtémoc",20,19.460949200000000,-99.146877899999990
50000," Cerro Tres Zapotes,  Copilco Universidad, Coyoacán",73,19.335735605400000,-99.177108407000005
17000," Leibnitz,  Anzures, Miguel Hidalgo",19,19.428200000000000,-99.178100000000000
12000," AV. TLAHUAC ,  San Andrés Tomatlán, Iztapalapa",50,19.328628000000000,-99.106471100000000
23500," Xicotencatl del carmen coyoacan,  Del Carmen, Coyoacán",501,19.353812900000000,-99.163605100000010
3984," Álvaro Obregón 19,  San Juan Tepeximilpa, Tlalpan",21,19.269981900000000,-99.191698399999990
7800," DR. ENRIQUE GLEZ MARTINEZ  91,  Santa María la Ribera, Cuauhtémoc",15,19.445389400000000,-99.155582700000000
30000," Florencia ,  Juárez, Cuauhtémoc",22,19.424874000000000,-99.166838099999990
4500," Penalistas 41,  Apatlaco, Iztapalapa",13,19.375699300000000,-99.120315900000000
25000," Río Nazas 72,  Cuauhtémoc, Cuauhtémoc",32,19.431769700000000,-99.167962100000000
5700," Eje 2 Poniente Gabriel Mancera,  Del Valle Sur, Benito Juárez",8,19.375447900000001,-99.166783999999992
8000," MONTECITO 38,  Nápoles, Benito Juárez",8,19.395424600000000,-99.174093800000000
13500," Avenida Unión 159,  Agrícola Pantitlan, Iztacalco",801,19.416684300000000,-99.062993400000000
11200," reforma 296,  Juárez, Cuauhtémoc",12,19.427482100000000,-99.165401800000010
25000," Bosque de Abetos,  Bosque de las Lomas, Miguel Hidalgo",751,19.407609000000000,-99.239037400000000
18000," NAPOLES ,  Juárez, Cuauhtémoc",452,19.426134900000000,-99.159431599999990
10000000," Av Baja California ,  Hipódromo Condesa, Cuauhtémoc",70,19.405694300000000,-99.170432900000000
12000," Av. Rio Consulado 1500,  Vallejo, Gustavo A. Madero",451,19.465196600000000,-99.133757199999990
10000," AVENIDA AQUILES SERDAN 400,  Nextengo, Azcapotzalco",42,19.473467500000000,-99.189732200000000
60000," Masaryk ,  Polanco, Miguel Hidalgo",8021,19.432949600000000,-99.203959700000000
10000000," Insurgentes -,  Roma, Cuauhtémoc",60,19.409584600000000,-99.157573200000000
650023," AV. EDUARDO MOLINA,  Eduardo Molina, Gustavo A. Madero",16,19.493808600000000,-99.091898899999990
42900," VICENTE SUAREZ,  Condesa, Cuauhtémoc",33,19.412149100000000,-99.176465200000000
13500," Calle 1 No. ,  Francisco I Madero, Miguel Hidalgo",40,19.447211000000000,-99.202712300000000
34200," Av de las Palmas,  Lomas de Chapultepec, Miguel Hidalgo",76,19.428412800000000,-99.217492700000000
12500," Corregidora 115 A-2, Barrio Caramaguey, Tlalpan,  Barrio de Caramagüey, Tlalpan",50,19.290654338200934,-99.182722219049070
4000," Avenida Oceanía 150,  Romero Rubio, Venustiano Carranza",20,19.440001200000000,-99.096813099999990
35000," Masaryk 100,  Polanco, Miguel Hidalgo",65,19.432844400000000,-99.200072899999995
11500," Concepción Bésitegui,  Narvarte Oriente, Benito Juárez",28,19.385948693563698,-99.148055061346440
37500," Prol. Paseo de la Reforma  Col. Cruz Manca Santa Fe, Lomas de Santa Fe, Contadero, ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",451,19.419274200000000,-99.217751900000000
33411," insurgentes sur 859,  Nápoles, Benito Juárez",501,19.388325300000000,-99.174592600000000
27000," NAPOLES 60,  Juárez, Cuauhtémoc",45,19.426134900000000,-99.159431599999990
1700000," blvd. Adolfo lopez mateos ,  Tizapan, Alvaro Obregón",1845,19.333176200000000,-99.209008500000000
14400," Cuauhtemoc 1233,  Santa Cruz Atoyac, Benito Juárez",361,19.373428000000000,-99.160797199999990
60000," Masaryk ,  Polanco, Miguel Hidalgo",801,19.432949600000000,-99.203959700000000
6000," Anaxagoras ,  Narvarte Oriente, Benito Juárez",121,19.387710700000000,-99.157706200000000
10000," Norte  Colonia Pensador Mexicano Alcaldía Venustiano Carranza,  Pensador Mexicano, Venustiano Carranza",65,19.444846400000000,-99.085626200000000
